imu_rate_hz,imu_total,cam_trig_rate,cam_trig_total,fsync_hits,tmst_fsync_us,espnow_sent,espnow_fail
988.0,4940,62.4,312,311,388,617,0
987.6,9878,89.8,761,760,659,1234,0
988.0,14818,89.8,1210,1209,922,1852,0
987.8,19757,89.8,1659,1658,247,2469,0
987.8,24696,90.0,2109,2109,516,3087,0
