rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1936,1977,1706,1936,0.447424,1.95714,0,1
2,2035,2080,1977,2035,0.42516,1.62783,0,1
3,2129,2170,2080,2129,0.47421,1.96654,0,1
4,2216,2256,2170,2216,0.468345,1.96611,0,1
5,2300,2339,2256,2300,0.42538,1.83645,0,1
6,2387,2424,2339,2387,0.467311,2.1594,0,1
7,2471,2513,2424,2471,0.473625,1.88706,0,1
8,2563,2605,2513,2563,0.539765,2.12485,0,1
9,2655,2694,2605,2655,0.466988,2.15348,0,1
10,2738,2776,2694,2738,0.486112,2.16173,0,1
11,2823,2861,2776,2823,0.46395,2.13258,0,1
12,2909,2947,2861,2909,0.453484,2.05777,0,1
13,2995,3035,2947,2995,0.454271,1.91253,0,1
14,3082,3126,3035,3082,0.453344,1.58255,0,1
15,3178,3219,3126,3178,0.498351,2.11756,0,1
16,3270,3318,3219,3270,0.559132,1.82643,0,1
17,3375,3419,3318,3375,0.501432,1.91676,0,1
18,3464,3505,3419,3464,0.457371,1.86538,0,1
19,3553,3594,3505,3553,0.524698,2.1829,0,1
20,3640,3682,3594,3640,0.510736,2.05305,0,1
21,3729,3772,3682,3729,0.500551,1.8991,0,1
22,3820,3861,3772,3820,0.49084,2.12,0,1
23,3911,3956,3861,3911,0.470813,1.60846,0,1
24,4006,4053,3956,4006,0.498974,1.70775,0,1
25,4103,4147,4053,4103,0.453425,1.76777,0,1
26,4193,4238,4147,4193,0.457314,1.60525,0,1
27,4289,4340,4238,4289,0.454397,1.59508,0,1
28,4398,4448,4340,4398,0.512081,1.65582,0,1
29,4498,4545,4448,4498,0.548133,1.85516,0,1
30,4594,4640,4545,4594,0.450228,1.44819,0,1
31,4691,4741,4640,4691,0.49249,1.3551,0,1
32,4796,4843,4741,4796,0.488154,1.88095,0,1
33,4894,4942,4843,4894,0.484309,1.59598,0,1
34,4992,5040,4942,4992,0.496744,1.65532,0,1
35,5090,5138,5040,5090,0.509826,1.77962,0,1
36,5189,5245,5138,5189,0.528618,1.2403,0,1
37,5303,5356,5245,5303,0.49538,1.44533,0,1
38,5571,5626,5356,5571,0.441259,1.18535,0,1
39,5689,5742,5626,5689,0.412662,1.17625,0,1
40,5812,5880,5742,5812,0.48069,1.05248,0,1
41,6068,6132,5880,6068,0.475916,0.928068,0,1
42,6201,6263,6132,6201,0.466961,1.15146,0,1
43,6442,6509,6296,6442,0.492897,0.947778,0,1
44,6577,6645,6509,6577,0.469395,1.02867,0,1
45,6881,6964,6645,6881,0.473109,0.761358,0,1
46,7204,7271,6964,7199,0.485549,0.968273,0,1
47,7582,7667,7271,7582,0.477298,0.808435,0,1
48,7981,8070,7667,7978,0.458226,0.664808,0,1
49,8407,8490,8234,8407,0.491462,0.764348,0,1
50,-1,-1,8523,8767,0,0,0,0
