rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1338,1398,1078,1338,0.476635,1.24758,0,1
2,1505,1562,1398,1505,0.475927,1.39099,0,1
3,1669,1722,1562,1669,0.441943,1.47606,0,1
4,1827,1885,1752,1827,0.473714,1.42029,0,1
5,1989,2045,1885,1989,0.448443,1.3182,0,1
6,2157,2212,2077,2157,0.521244,1.61044,0,1
7,2312,2369,2212,2312,0.5104,1.55422,0,1
8,2475,2533,2369,2475,0.517819,1.53428,0,1
9,2646,2706,2533,2646,0.491231,1.38658,0,1
10,2822,2891,2706,2822,0.544298,1.36414,0,1
11,2996,3065,2891,2996,0.504576,1.22162,0,1
12,3211,3262,3065,3206,0.493881,1.5874,0,1
13,-1,-1,3262,3490,0,0,0,0
