rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,1356,1500,702,1356,0.450521,1.03432,0,0
2,1583,1644,1500,1583,0.500214,1.25186,0,1
3,1818,1882,1665,1818,0.495785,1.12404,0,1
4,2046,2111,1906,2046,0.521224,1.20886,0,1
5,2295,2403,2133,2295,0.498073,1.07676,0,1
6,2553,2619,2475,2553,0.474648,1.01674,0,1
7,2855,2917,2641,2855,0.449828,0.999058,0,1
8,3113,3177,2917,3113,0.465459,1.03485,0,1
9,3367,3429,3197,3367,0.404141,0.975452,0,1
10,3627,3690,3455,3627,0.449155,1.1717,0,1
11,3914,3970,3715,3914,0.45205,1.31147,0,1
12,4187,4240,3970,4187,0.381488,1.143,0,1
13,4480,4534,4240,4480,0.365049,1.03445,0,1
14,4792,4847,4642,4792,0.354899,1.07322,0,1
15,5078,5159,4872,5078,0.397515,0.88977,0,1
16,5359,5416,5168,5359,0.39951,1.03896,0,1
17,-1,-1,5523,5720,0,0,0,0
